GL_TRANSACTION_ID,JOURNAL_ENTRY_ID,GL_ACCOUNT_ID,COST_CENTER_ID,TRANSACTION_DATE,AMOUNT,SOURCE_SYSTEM,SOURCE_REFERENCE,DESCRIPTION,_FIVETRAN_SYNCED
GLT-0001,JE-2026-07-31-CC1001,GL-5100,CC-1001,2026-07-31,12813.94,PAYROLL,PAYROLL-2026-07-31,Biweekly payroll salaries & OT - Engineering,2026-08-01 03:00:00
GLT-0002,JE-2026-07-31-CC1001,GL-2200,CC-1001,2026-07-31,-2700.34,PAYROLL,PAYROLL-2026-07-31,Federal tax withholding payable - Engineering,2026-08-01 03:00:00
GLT-0003,JE-2026-07-31-CC1001,GL-2100,CC-1001,2026-07-31,-542.30,PAYROLL,PAYROLL-2026-07-31,401(k) withholding payable - Engineering,2026-08-01 03:00:00
GLT-0004,JE-2026-07-31-CC1001,GL-1000,CC-1001,2026-07-31,-9571.30,PAYROLL,PAYROLL-2026-07-31,Net pay disbursed - Engineering,2026-08-01 03:00:00
GLT-0005,JE-2026-07-31-CC2001,GL-5100,CC-2001,2026-07-31,3343.27,PAYROLL,PAYROLL-2026-07-31,Biweekly payroll salaries & OT - Sales,2026-08-01 03:00:00
GLT-0006,JE-2026-07-31-CC2001,GL-2200,CC-2001,2026-07-31,-635.50,PAYROLL,PAYROLL-2026-07-31,Federal tax withholding payable - Sales,2026-08-01 03:00:00
GLT-0007,JE-2026-07-31-CC2001,GL-1000,CC-2001,2026-07-31,-2707.77,PAYROLL,PAYROLL-2026-07-31,Net pay disbursed - Sales,2026-08-01 03:00:00
GLT-0008,JE-2026-07-31-CC5001,GL-5100,CC-5001,2026-07-31,2461.54,PAYROLL,PAYROLL-2026-07-31,Biweekly payroll salaries - Customer Success,2026-08-01 03:00:00
GLT-0009,JE-2026-07-31-CC5001,GL-2200,CC-5001,2026-07-31,-489.32,PAYROLL,PAYROLL-2026-07-31,Federal tax withholding payable - Customer Success,2026-08-01 03:00:00
GLT-0010,JE-2026-07-31-CC5001,GL-2150,CC-5001,2026-07-31,-24.00,PAYROLL,PAYROLL-2026-07-31,Dental withholding payable - Customer Success,2026-08-01 03:00:00
GLT-0011,JE-2026-07-31-CC5001,GL-1000,CC-5001,2026-07-31,-1948.22,PAYROLL,PAYROLL-2026-07-31,Net pay disbursed - Customer Success,2026-08-01 03:00:00
GLT-0012,JE-2026-07-15-REV01,GL-1000,CC-2001,2026-07-15,45000.00,BILLING,INV-20260715-001,Cash received - Q3 services revenue,2026-08-01 03:00:00
GLT-0013,JE-2026-07-15-REV01,GL-4000,CC-2001,2026-07-15,-45000.00,BILLING,INV-20260715-001,Q3 services revenue recognized,2026-08-01 03:00:00
GLT-0014,JE-2026-07-20-AP01,GL-5400,CC-1001,2026-07-20,8500.00,PROCUREMENT,PO-20260720-014,Contractor services expense - Engineering,2026-08-01 03:00:00
GLT-0015,JE-2026-07-20-AP01,GL-2000,CC-1001,2026-07-20,-8500.00,PROCUREMENT,PO-20260720-014,Accounts payable - contractor invoice,2026-08-01 03:00:00
