REGISTRATION_ID,STUDENT_ID,COURSE_ID,COURSE_NAME,ACADEMIC_PERIOD_ID,CREDIT_HOURS,GRADE,REGISTRATION_STATUS,REGISTRATION_DATE,_FIVETRAN_SYNCED
REG-00001,STU-0001,CS-101,Intro to Programming,TERM-2025FA,3,A,Completed,2025-08-20,2026-08-01 03:00:00
REG-00002,STU-0001,MATH-201,Calculus II,TERM-2025FA,4,B+,Completed,2025-08-20,2026-08-01 03:00:00
REG-00003,STU-0001,CS-201,Data Structures,TERM-2026SP,3,,Enrolled,2026-01-10,2026-08-01 03:00:00
REG-00004,STU-0002,CS-101,Intro to Programming,TERM-2025FA,3,A-,Completed,2025-08-20,2026-08-01 03:00:00
REG-00005,STU-0002,MATH-201,Calculus II,TERM-2025FA,4,B,Completed,2025-08-20,2026-08-01 03:00:00
REG-00006,STU-0002,CS-201,Data Structures,TERM-2026SP,3,,Enrolled,2026-01-10,2026-08-01 03:00:00
REG-00007,STU-0003,DS-500,Machine Learning Foundations,TERM-2026SP,3,,Enrolled,2026-01-11,2026-08-01 03:00:00
REG-00008,STU-0003,DS-510,Statistical Methods,TERM-2026SP,3,,Enrolled,2026-01-11,2026-08-01 03:00:00
REG-00009,STU-0004,BUS-101,Intro to Business,TERM-2025FA,3,B,Completed,2025-08-19,2026-08-01 03:00:00
REG-00010,STU-0004,ECON-201,Microeconomics,TERM-2025FA,3,B+,Completed,2025-08-19,2026-08-01 03:00:00
REG-00011,STU-0005,BUS-101,Intro to Business,TERM-2025FA,3,A,Completed,2025-08-19,2026-08-01 03:00:00
REG-00012,STU-0005,ACCT-210,Financial Accounting,TERM-2025FA,3,A-,Completed,2025-08-19,2026-08-01 03:00:00
REG-00013,STU-0006,MBA-600,Managerial Economics,TERM-2026SP,3,,Enrolled,2026-01-12,2026-08-01 03:00:00
REG-00014,STU-0007,BIO-101,General Biology I,TERM-2025FA,4,B,Completed,2025-08-21,2026-08-01 03:00:00
REG-00015,STU-0007,CHEM-101,General Chemistry I,TERM-2025FA,4,C+,Completed,2025-08-21,2026-08-01 03:00:00
REG-00016,STU-0008,CS-101,Intro to Programming,TERM-2025FA,3,W,Dropped,2025-08-20,2026-03-15 09:00:00
REG-00017,STU-0009,BUS-101,Intro to Business,TERM-2025FA,3,A,Completed,2025-08-19,2026-08-01 03:00:00
REG-00018,STU-0009,ACCT-210,Financial Accounting,TERM-2025FA,3,A,Completed,2025-08-19,2026-08-01 03:00:00
REG-00019,STU-0010,DS-500,Machine Learning Foundations,TERM-2026SP,3,,Enrolled,2026-01-11,2026-08-01 03:00:00
REG-00020,STU-0010,DS-520,Data Engineering Pipelines,TERM-2026SP,3,,Enrolled,2026-01-11,2026-08-01 03:00:00
